Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
S&P BSE SENSEX,72220.57,72730.00,72099.32,72500.30,72304.88,195.42,0.27,73427.59,57084.91,2301.30,27.42
S&P BSE SENSEX 50,23006.15,23149.77,22943.96,23078.72,23023.89,54.83,0.24,23381.42,17697.99,2789.03,33.24
S&P BSE SENSEX Next 50,69191.72,70058.32,68399.07,69787.26,69095.65,691.61,1.00,70753.74,44809.57,961.29,11.46
S&P BSE 100,22827.75,22994.31,22746.75,22921.27,22836.64,84.63,0.37,23215.50,17100.50,3756.82,44.77
S&P BSE Bharat 22 Index,8028.58,8089.18,7943.41,8059.13,8016.59,42.54,0.53,8089.18,7943.41,870.90,10.38
S&P BSE MidCap,39102.39,39454.66,38668.50,39346.98,39019.19,327.79,0.84,40282.49,23356.61,2027.09,24.16
S&P BSE SmallCap,45035.67,45365.18,44449.05,45225.10,44998.14,226.96,0.50,46821.39,26120.32,2656.87,31.66
S&P BSE 200,9909.19,9987.01,9864.79,9955.38,9911.58,43.80,0.44,10083.27,7190.54,5082.37,60.56
S&P BSE 150 MidCap Index,13329.50,13439.67,13177.80,13403.37,13311.56,91.81,0.69,13757.83,8318.03,2006.44,23.91
S&P BSE 250 SmallCap Index,6008.69,6043.91,5929.86,6023.30,5997.68,25.62,0.43,6209.89,3554.10,1354.84,16.14
S&P BSE 250 LargeMidCap Index,9392.89,9466.15,9348.34,9436.27,9395.47,40.80,0.43,9559.25,6801.48,5341.17,63.65
S&P BSE 400 MidSmallCap Index,10211.80,10287.30,10094.14,10257.82,10196.40,61.42,0.60,10532.18,6261.05,3361.27,40.05
S&P BSE 500,31637.08,31877.82,31470.28,31777.02,31639.80,137.22,0.43,32200.71,22556.39,6696.00,79.79
S&P BSE AllCap,9224.32,9295.97,9173.59,9266.52,9224.78,41.74,0.45,9393.97,6469.66,8011.88,95.47
S&P BSE LargeCap,8498.11,8563.13,8471.78,8534.56,8504.50,30.06,0.35,8635.30,6391.32,3327.92,39.66
S&P BSE SmallCap Select Index,6661.91,6706.49,6576.34,6686.79,6662.01,24.78,0.37,6938.55,4439.07,344.84,4.11
S&P BSE MidCap Select Index,14146.54,14268.78,13978.25,14222.89,14096.51,126.38,0.90,14519.86,8660.25,579.55,6.91
S&P BSE 100 LargeCap TMC Index,8150.54,8213.30,8124.95,8186.34,8155.99,30.35,0.37,8286.64,6071.37,3334.73,39.74
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
S&P BSE SENSEX Next 50 TMC,12240.65000000000000,12138.61000000000000,102.04000000000000,0.84,2/29/2024 12:00:00 AM
S&P BSE LargeMidCap,9372.67000000000000,9331.41000000000000,41.26000000000000,0.44,2/29/2024 12:00:00 AM
S&P BSE MidSmallCap,11288.65000000000000,11214.06000000000000,74.59000000000000,0.67,2/29/2024 12:00:00 AM
S&P BSE 250 LargeMidCap 65:35 Index ,10340.12000000000000,10290.21000000000000,49.92000000000000,0.49,2/29/2024 12:00:00 AM
S&P BSE SENSEX 50 TMC,7464.32000000000000,7444.11000000000000,20.21000000000000,0.27,2/29/2024 12:00:00 AM

