Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
S&P BSE Commodities,6506.96,6566.93,6453.52,6546.78,6495.74,51.04,0.79,6739.73,4827.56,521.47,6.21
S&P BSE Consumer Discretionary,8418.25,8495.02,8364.47,8467.53,8420.98,46.55,0.55,8598.75,5225.74,1308.16,15.59
S&P BSE Energy,11999.82,12053.91,11913.11,12008.02,11967.80,40.22,0.34,12680.46,7268.42,253.50,3.02
S&P BSE Fast Moving Consumer Goods,19394.43,19483.07,19265.97,19447.87,19396.30,51.57,0.27,20863.68,15966.13,196.52,2.34
S&P BSE Financial Services,10108.61,10219.55,10068.05,10178.18,10119.44,58.74,0.58,10604.36,8087.63,3583.30,42.70
S&P BSE Healthcare,35301.95,35342.21,34738.37,35079.32,35318.19,-238.87,-0.68,35875.08,21394.21,343.56,4.09
S&P BSE Industrials,12169.29,12287.72,12016.75,12249.22,12159.23,89.99,0.74,12375.55,6808.48,792.05,9.44
S&P BSE Information Technology,38175.92,38562.49,38057.40,38412.09,38345.31,66.78,0.17,39158.87,26314.34,206.60,2.46
S&P BSE Telecommunication,2436.93,2460.74,2413.56,2451.73,2440.05,11.68,0.48,2519.58,1473.77,285.04,3.40
S&P BSE Utilities,5416.96,5458.69,5325.98,5428.24,5396.83,31.41,0.58,5600.03,2597.20,358.84,4.28
S&P BSE AUTO,46682.92,46965.72,46428.67,46819.30,46732.43,86.87,0.19,47818.46,27468.59,127.40,1.52
S&P BSE BANKEX,52084.90,52650.89,51877.50,52456.58,52222.50,234.08,0.45,54799.84,43803.18,1936.36,23.07
S&P BSE CAPITAL GOODS,57078.15,57591.02,56451.43,57414.63,57046.15,368.48,0.65,58528.41,33386.36,265.22,3.16
S&P BSE CONSUMER DURABLES,51211.69,51413.20,50739.79,51224.29,51017.48,206.81,0.41,52352.41,36679.14,202.04,2.41
S&P BSE METAL,26770.84,27001.29,26525.31,26865.25,26667.06,198.19,0.74,28533.86,18668.74,133.10,1.59
S&P BSE OIL & GAS,27665.70,27782.38,27434.47,27664.64,27634.75,29.89,0.11,29466.30,17027.10,162.52,1.94
S&P BSE POWER,6548.42,6626.69,6438.70,6589.50,6523.84,65.66,1.01,6710.99,3322.38,252.56,3.01
S&P BSE REALTY,7185.80,7236.76,7062.88,7195.44,7181.63,13.81,0.19,7398.64,2965.82,40.22,0.48
S&P BSE TECK,16870.82,17034.98,16838.43,16963.00,16951.93,11.07,0.07,17228.95,12064.29,406.57,4.84
S&P BSE Services,1375.46,1397.36,1361.03,1390.52,1370.45,20.07,1.46,1407.68,764.93,162.83,1.94
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
S&P BSE REIT & InvIT Index (INR),127.81000000000000,126.52000000000000,1.29000000000000,1.02,2/29/2024 12:00:00 AM

