Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
S&P BSE Momentum Index,1823.20,1855.17,1804.23,1848.13,1820.53,27.60,1.52,1878.59,1047.43,716.02,8.53
S&P BSE Low Volatility Index,1682.70,1695.04,1676.26,1690.74,1685.26,5.48,0.33,1730.62,1175.76,1620.21,19.31
S&P BSE Quality Index ,1675.11,1694.15,1659.58,1687.76,1675.31,12.45,0.74,1705.12,1119.11,226.34,2.70
S&P BSE Enhanced Value Index,847.62,854.52,838.52,850.82,844.87,5.95,0.70,903.56,452.42,660.15,7.87
S&P BSE Dividend Stability Index,940.43,948.27,932.84,944.61,940.66,3.95,0.42,976.40,591.40,935.93,11.15
S&P BSE IPO,13649.24,13705.01,13445.47,13665.90,13599.31,66.59,0.49,14376.99,7453.27,318.25,3.79
S&P BSE SME IPO,59313.70,59381.81,57956.81,59083.72,59346.81,-263.09,-0.44,61275.79,23461.63,63.26,0.75
S&P BSE DOLLEX 30,7153.65,7202.50,7140.35,7179.75,7157.03,22.72,0.32,7274.05,5667.93,,
S&P BSE DOLLEX 100,2849.16,2869.31,2838.60,2860.18,2848.28,11.90,0.42,2898.43,2137.21,,
S&P BSE DOLLEX 200,1990.44,2005.63,1981.34,1999.25,1989.52,9.73,0.49,2026.02,1446.19,,
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
S&P BSE Arbitrage Rate Index,2423.06000000000000,2437.13000000000000,-14.07000000000000,-0.58,2/28/2024 12:00:00 AM
S&P BSE SENSEX 2X Leverage Daily,6752.61000000000000,6717.49000000000000,35.11000000000000,0.52,2/29/2024 12:00:00 AM
S&P BSE SENSEX 1X Inverse Daily,685.00000000000000,686.61000000000000,-1.61000000000000,-0.23,2/29/2024 12:00:00 AM
S&P BSE SENSEX 2X Inverse Daily,174.53000000000000,175.38000000000000,-0.85000000000000,-0.49,2/29/2024 12:00:00 AM
S&P BSE SENSEX Futures ,4234.68000000000000,4256.29000000000000,-21.61000000000000,-0.51,2/28/2024 12:00:00 AM

